,Job,Credit amount,Duration,Risk,Sex_female,Sex_male,Housing_free,Housing_own,Housing_rent,Savings_little,Savings_moderate,Savings_quite rich,Savings_rich,Checking_little,Checking_moderate,Checking_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Age_18-30,Age_31-40,Age_41-50,Age_51-60,Age_61-80
431,1.663269418478879,2.85321651026308,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
42,-1.3302413459375508,1.0354970333294036,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
189,0.16651403627066402,-0.014551688708785983,-0.22833167139781002,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
389,0.16651403627066402,-0.6513210995393772,-0.9841882387836639,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
138,0.16651403627066402,-0.1976007226857136,-0.48028386052642796,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,0.16651403627066402,-0.7059520127805533,-0.732236049655046,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
926,0.16651403627066402,-0.7932195754904839,-0.22833167139781002,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
890,1.663269418478879,-0.2990581329907549,0.5275248959880439,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
872,0.16651403627066402,-0.6750890942611876,0.2755727068594259,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
985,0.16651403627066402,-0.6569970385774215,-0.48028386052642796,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
967,1.663269418478879,0.10038607681161044,-0.48028386052642796,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
276,0.16651403627066402,-0.31253848820611,-0.22833167139781002,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
589,0.16651403627066402,-0.3685883862067972,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
114,0.16651403627066402,-0.5693747296776132,-0.732236049655046,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,-1.3302413459375508,-0.7400076470088189,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
920,0.16651403627066402,-0.5207745016643591,-0.22833167139781002,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
684,-1.3302413459375508,2.331384864952885,1.2833814633738978,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
554,1.663269418478879,-0.7400076470088189,-0.9841882387836639,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
492,0.16651403627066402,-0.7265272917934638,-1.2361404279122818,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
571,0.16651403627066402,0.9468104858599617,0.7794770851166618,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
208,-1.3302413459375508,1.1646246464449106,0.2755727068594259,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
919,1.663269418478879,0.021277676468868453,0.2755727068594259,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
300,-2.8269967281457657,-0.9269588890744019,-1.2361404279122818,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,-1.3302413459375508,-0.609106302943923,-0.22833167139781002,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
77,0.16651403627066402,0.5271457432345638,-0.8162201126979186,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
865,0.16651403627066402,-0.37745704095374133,-0.48028386052642796,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
307,-1.3302413459375508,-0.9074478486311248,-0.732236049655046,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
972,-2.8269967281457657,-0.7421361241480855,0.2755727068594259,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
645,0.16651403627066402,1.665526266552317,1.2833814633738978,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
176,0.16651403627066402,-0.2511673973572564,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
252,0.16651403627066402,-0.40264402043506275,0.7794770851166618,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
83,-1.3302413459375508,-0.5427687654367807,0.2755727068594259,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
655,0.16651403627066402,0.24405828371210594,-0.5642679235693007,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
740,0.16651403627066402,-0.3405634372064536,0.2755727068594259,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
341,-1.3302413459375508,0.1113832086978212,0.023620517730807936,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
29,0.16651403627066402,1.259696625332152,3.2989989764028413,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
304,0.16651403627066402,2.4271663362198823,2.2911902198883696,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
940,1.663269418478879,0.08584148302662199,-0.732236049655046,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
607,0.16651403627066402,-0.21782125550874631,1.2833814633738978,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
973,0.16651403627066402,1.4232346188658025,3.2989989764028413,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
234,-1.3302413459375508,-0.6176202115009893,-1.4041085539980271,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
609,0.16651403627066402,-0.7041782818311645,-0.48028386052642796,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
308,0.16651403627066402,-0.7265272917934638,-1.0681723018265366,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
949,0.16651403627066402,0.11918762487513207,0.2755727068594259,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
345,-1.3302413459375508,-0.6477736376405996,-0.48028386052642796,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
44,-1.3302413459375508,1.0138575157468597,2.2911902198883696,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
105,1.663269418478879,3.0696116860885176,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
460,0.16651403627066402,0.1188328786852543,1.2833814633738978,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
264,-1.3302413459375508,-0.7286557689327303,-0.9002041757407913,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
394,1.663269418478879,-0.3118289958263545,-0.9841882387836639,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
953,1.663269418478879,2.7276363590463504,1.2833814633738978,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
761,0.16651403627066402,-0.4118674213718847,-0.22833167139781002,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
27,0.16651403627066402,-1.0202571370122546,-0.732236049655046,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
20,0.16651403627066402,-0.408319959473107,-0.9841882387836639,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
367,0.16651403627066402,0.1294752643815873,-0.22833167139781002,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
933,0.16651403627066402,-0.9801708175560669,-0.732236049655046,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
327,0.16651403627066402,-0.624360389108667,0.2755727068594259,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
188,0.16651403627066402,-0.9262493966946465,-0.732236049655046,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
56,1.663269418478879,1.129150027457134,-0.732236049655046,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
178,1.663269418478879,-0.46898155794220514,-0.732236049655046,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
152,0.16651403627066402,0.9092073897329185,1.2833814633738978,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
654,0.16651403627066402,-0.3331137672190205,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
246,0.16651403627066402,-0.9109953105299025,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
298,0.16651403627066402,-0.27316166112967794,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
513,0.16651403627066402,-0.9578218075937677,-0.732236049655046,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
115,0.16651403627066402,0.1039335387103881,2.2911902198883696,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
387,1.663269418478879,1.4505500754863905,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
661,0.16651403627066402,-0.8460767577822712,-0.732236049655046,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
781,0.16651403627066402,-0.47714072030939375,0.2755727068594259,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
324,0.16651403627066402,-0.800669245477917,-0.22833167139781002,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
279,1.663269418478879,-0.49097582171462667,0.2755727068594259,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
244,-1.3302413459375508,0.05746178783640066,-0.732236049655046,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
285,-1.3302413459375508,2.6382403191971533,2.207206156845497,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
909,-1.3302413459375508,-0.03193425201279655,-0.9841882387836639,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
467,0.16651403627066402,1.4023045936630143,2.2911902198883696,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
183,0.16651403627066402,0.17452803049606366,0.2755727068594259,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
326,0.16651403627066402,0.8925343188086635,-0.732236049655046,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
136,0.16651403627066402,1.8900806047449432,0.5275248959880439,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
130,0.16651403627066402,1.8453825848203447,2.2911902198883696,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
951,0.16651403627066402,-0.4044177513844516,1.2833814633738978,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
863,-1.3302413459375508,0.4402329267145109,0.5275248959880439,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,-1.3302413459375508,2.0468784206709163,1.2833814633738978,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
132,-1.3302413459375508,-0.20469564648326893,-0.48028386052642796,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
613,0.16651403627066402,0.1230898329637875,0.2755727068594259,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
650,1.663269418478879,1.4867341868539226,2.2911902198883696,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
626,0.16651403627066402,-0.41470539089090686,-1.2361404279122818,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
63,0.16651403627066402,3.950446475555012,2.2911902198883696,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
535,0.16651403627066402,-0.3426919143457202,0.023620517730807936,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
644,1.663269418478879,-0.4984254917020598,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
402,0.16651403627066402,1.9024967213906652,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
830,0.16651403627066402,-0.32282612771256525,0.2755727068594259,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
569,0.16651403627066402,1.2320264225216861,2.2911902198883696,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
774,-2.8269967281457657,-0.6403239676531665,-0.732236049655046,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
682,0.16651403627066402,-0.6410334600329219,-0.48028386052642796,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
203,0.16651403627066402,-0.8453672654025156,-0.732236049655046,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
70,0.16651403627066402,1.7198024336036153,1.2833814633738978,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
917,1.663269418478879,4.118950915746952,-1.2361404279122818,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
686,0.16651403627066402,-0.6875052109069094,-0.9002041757407913,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
143,0.16651403627066402,-0.29196320919319957,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
735,-2.8269967281457657,0.25008896894002797,1.2833814633738978,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
583,-1.3302413459375508,-0.31963341200366535,1.2833814633738978,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
201,-1.3302413459375508,-0.7510047788950297,-0.732236049655046,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
632,0.16651403627066402,-0.653094830488766,-0.48028386052642796,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
336,-1.3302413459375508,-0.4200265837390733,-0.6482519866121733,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
440,1.663269418478879,-0.4970065069425487,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
637,0.16651403627066402,4.387493781484421,3.2989989764028413,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
666,0.16651403627066402,0.07484435114041123,0.7794770851166618,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
907,0.16651403627066402,0.15111478196413106,1.2833814633738978,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
977,0.16651403627066402,-0.3043793258389214,-0.22833167139781002,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
641,-1.3302413459375508,-0.7013403123121423,-0.48028386052642796,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
903,0.16651403627066402,-0.6736701095016765,-0.48028386052642796,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
443,-1.3302413459375508,-0.910285818150147,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
194,0.16651403627066402,-0.0901126271527503,2.0392380307597517,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
3,0.16651403627066402,1.6307611399442958,1.7872858416311337,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
892,-1.3302413459375508,-0.3951943504476297,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
590,-1.3302413459375508,-1.028771045569321,-0.732236049655046,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
357,1.663269418478879,0.41788391675221165,1.2833814633738978,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
220,-1.3302413459375508,-0.943631959998657,-0.732236049655046,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
358,0.16651403627066402,-0.8900652853271143,-0.732236049655046,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
248,0.16651403627066402,-0.48246191315756026,0.2755727068594259,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
852,0.16651403627066402,-0.6435166833620664,-0.48028386052642796,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
173,0.16651403627066402,-0.6637372161850991,-1.0681723018265366,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
978,-1.3302413459375508,-0.26500249876248927,0.2755727068594259,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
60,0.16651403627066402,-0.6718963785522877,-0.9841882387836639,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
927,0.16651403627066402,2.4874731884991026,2.2911902198883696,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
388,0.16651403627066402,-0.3402086910165758,-0.48028386052642796,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
929,-1.3302413459375508,-0.6885694494765427,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
860,0.16651403627066402,0.8935985573782967,0.2755727068594259,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
670,-1.3302413459375508,0.30294615123181523,0.2755727068594259,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
640,-2.8269967281457657,-0.8992886862639362,-0.22833167139781002,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
263,-1.3302413459375508,-0.19050579888815827,-0.732236049655046,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
45,1.663269418478879,-0.6711868861725322,-0.8162201126979186,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
485,1.663269418478879,-0.7364601851100412,-1.2361404279122818,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
352,1.663269418478879,-0.019872881556952486,-0.22833167139781002,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
520,0.16651403627066402,0.7882389389846001,0.2755727068594259,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
841,-1.3302413459375508,-0.10359298236810542,0.023620517730807936,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
127,0.16651403627066402,-0.9386655133403683,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
950,-2.8269967281457657,0.10819049298892129,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
150,0.16651403627066402,-0.6878599570967872,-1.2361404279122818,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
658,0.16651403627066402,0.3320353388017921,0.7794770851166618,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
315,0.16651403627066402,-0.1912152912679138,1.2833814633738978,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
889,0.16651403627066402,1.6101858609313855,0.6115089590309165,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
582,0.16651403627066402,-0.672960617121921,-0.9841882387836639,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
459,0.16651403627066402,0.46435566762619906,-0.22833167139781002,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
423,1.663269418478879,-0.6009471405767344,0.023620517730807936,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
493,0.16651403627066402,-1.034801730797243,-1.2361404279122818,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,-1.3302413459375508,-0.4218003146884622,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
458,0.16651403627066402,-1.0436703855441871,-1.2361404279122818,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
295,0.16651403627066402,2.367923722510295,2.2911902198883696,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
696,0.16651403627066402,-0.7740632812370845,-0.732236049655046,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
651,-1.3302413459375508,-0.4835261517271936,-0.732236049655046,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
